UFI,PFI,LGA_CODE,LGA_NAME,GAZ_LGA,GAZREGN,ABSLGACODE,TASK_ID,PFI_CR,UFI_OLD,UFI_CR,LABEL_USE_,station_count
857596452,"316","316",DAREBIN,DAREBIN CITY,S097 1994 p20,"21890",,,856969543,2024/10/10,5,3
857596450,"308","308",BRIMBANK,BRIMBANK CITY,S097 1994 p18,"21180",,,856969541,2024/10/10,5,2
857596456,"343","343",MELBOURNE,MELBOURNE CITY,G050 2007 p3095,"24600",,,857371178,2024/10/10,5,4
857596457,"307","307",BOROONDARA,BOROONDARA CITY,S035 1994 p18,"21110",,,857371179,2024/10/10,5,3
857413505,"327","327",GREATER GEELONG,GREATER GEELONG CITY,S008 1994 p7,"22750",,,856190180,2024/10/07,2,7
857596458,"363","363",STONNINGTON,STONNINGTON CITY,S035 1994 p22,"26350",,,857371182,2024/10/10,5,2
857596451,"303","303",BANYULE,BANYULE CITY,S097 1994 p17,"20660",,,856190174,2024/10/10,5,2
857413506,"337","337",LATROBE,LATROBE CITY,S094 1994 p12,"23810",,,837408037,2024/10/07,1,5
857596455,"376","376",YARRA,YARRA CITY,S035 1994 p14,"27350",,,856969546,2024/10/10,5,3
468592537,"389","389",GABO ISLAND (UNINC),GABO ISLAND (UNINCORPORATED),,"29399",,,310728610,2013/10/24,5,0
550293890,"368","368",WANGARATTA,WANGARATTA RURAL CITY,G028 1996 p1872,"26700",,,540660454,2018/04/20,1,4
857596449,"377","377",YARRA RANGES,YARRA RANGES SHIRE,G040 2003 p2574,"27450",,,821999870,2024/10/10,2,10
743233027,"358","358",PORT PHILLIP,PORT PHILLIP CITY,S035 1994 p26,"25900",,,739400718,2023/04/17,5,3
857413504,"344","344",MELTON,MELTON CITY,G036 2012 p2017,"24650",,,856969540,2024/10/07,4,2
808850953,"124107200","383",MOUNT BAW BAW ALPINE RESORT (UNINC),MOUNT BAW BAW ALPINE RESORT (UNINCORPORATED),,"29399",,2004/12/17,468592560,2023/10/30,5,0
810305324,"314","314",COLAC OTWAY,COLAC OTWAY SHIRE,S063 1994 p10,"21750",,,805744890,2023/11/06,1,7
810305322,"315","315",CORANGAMITE,CORANGAMITE SHIRE,S063 1994 p11,"21830",,,805744889,2023/11/06,1,7
810305323,"354","354",MOYNE,MOYNE SHIRE,G003 1996 p205,"25490",,,798566876,2023/11/06,1,4
812633108,"320","320",FRANKSTON,FRANKSTON CITY,S097 1994 p21,"22170",,,785173807,2023/11/24,5,2
815857844,"381","381",BENALLA,BENALLA RURAL CITY,G042 2002 p2837,"21010",,2003/01/29,569517636,2023/12/04,1,1
820277767,"124107201","385",LAKE MOUNTAIN ALPINE RESORT (UNINC),LAKE MOUNTAIN ALPINE RESORT (UNINCORPORATED),,"29399",,2004/12/17,806916804,2023/12/19,5,0
820277770,"305","305",BAW BAW,BAW BAW SHIRE,S094 1994 p9,"20830",,,812373710,2023/12/19,1,5
