X,Y,id,UFI,PFI,LGA_CODE,LGA_NAME,GAZ_LGA,GAZREGN,ABSLGACODE,TASK_ID,PFI_CR,UFI_OLD,UFI_CR,LABEL_USE_
142.502424752883,-38.3781782699523,,865944258,"369","369",WARRNAMBOOL,WARRNAMBOOL CITY,S063 1994 p15,"26730",,1899/11/30 00:00:00+00,798566877,2025/04/24 00:00:00+00,5
145.192412633965,-38.5066432592764,,869805099,"304","304",BASS COAST,BASS COAST SHIRE,S097 1994 p17,"20740",,1899/11/30 00:00:00+00,812373714,2025/07/03 00:00:00+00,4
145.338650656386,-38.5010125516969,,869805099,"304","304",BASS COAST,BASS COAST SHIRE,S097 1994 p17,"20740",,1899/11/30 00:00:00+00,812373714,2025/07/03 00:00:00+00,4
145.554225618957,-38.4861880594412,,869805099,"304","304",BASS COAST,BASS COAST SHIRE,S097 1994 p17,"20740",,1899/11/30 00:00:00+00,812373714,2025/07/03 00:00:00+00,4
141.800610710773,-34.8653696924748,,871073248,"345","345",MILDURA,MILDURA RURAL CITY,S004 1995 p17,"24780",,1899/11/30 00:00:00+00,826546832,2025/08/01 00:00:00+00,1
145.185207562544,-37.7570689450712,,873018034,"340","340",MANNINGHAM,MANNINGHAM CITY,S158 1999 p10,"24210",,1899/11/30 00:00:00+00,857596453,2025/09/12 00:00:00+00,5
145.15652231664,-37.8276193655369,,873018035,"372","372",WHITEHORSE,WHITEHORSE CITY,S158 1999 p11,"26980",,1899/11/30 00:00:00+00,857371180,2025/09/12 00:00:00+00,5
146.988715701029,-36.8335298192968,,583705634,"300","300",ALPINE,ALPINE SHIRE,G046 1998 p2822,"20110",,1899/11/30 00:00:00+00,570890105,2019/12/05 00:00:00+00,1
147.119680168236,-36.9903948487076,,570890106,"124107198","388",MOUNT HOTHAM ALPINE RESORT (UNINC),MOUNT HOTHAM ALPINE RESORT (UNINCORPORATED),,"29399",,2004/12/17 00:00:00+00,556060985,2019/04/08 00:00:00+00,5
148.519601160603,-37.3563863595183,,836974835,"319","319",EAST GIPPSLAND,EAST GIPPSLAND SHIRE,S094 1994 p11,"22110",,1899/11/30 00:00:00+00,666763702,2024/03/18 00:00:00+00,1
142.388474958242,-36.0281728066805,,844664027,"378","378",YARRIAMBIACK,YARRIAMBIACK SHIRE,G003 1996 p200,"27630",,1899/11/30 00:00:00+00,826546835,2024/05/06 00:00:00+00,2
142.992612714771,-35.8464528868477,,847360025,"309","309",BULOKE,BULOKE SHIRE,G009 1996 p655,"21270",,1899/11/30 00:00:00+00,835228702,2024/05/20 00:00:00+00,1
145.368282376067,-38.4154210158397,,848225047,"379","379",FRENCH-ELIZABETH-SANDSTONE ISLANDS (UNINC),FRENCH-ELIZABETH-SANDSTONE ISLANDS (UNINC),,"29399",,1899/11/30 00:00:00+00,468592577,2024/05/27 00:00:00+00,4
145.388674254546,-38.3504848694743,,848225047,"379","379",FRENCH-ELIZABETH-SANDSTONE ISLANDS (UNINC),FRENCH-ELIZABETH-SANDSTONE ISLANDS (UNINC),,"29399",,1899/11/30 00:00:00+00,468592577,2024/05/27 00:00:00+00,4
145.210480925331,-38.3298653348464,,848225047,"379","379",FRENCH-ELIZABETH-SANDSTONE ISLANDS (UNINC),FRENCH-ELIZABETH-SANDSTONE ISLANDS (UNINC),,"29399",,1899/11/30 00:00:00+00,468592577,2024/05/27 00:00:00+00,4
147.604572573942,-36.3704687343341,,849561941,"367","367",TOWONG,TOWONG SHIRE,G042 1996 p2787,"26670",,1899/11/30 00:00:00+00,817074768,2024/06/03 00:00:00+00,1
146.911908751718,-36.1446891626215,,849561943,"374","374",WODONGA,WODONGA CITY,G042 2015 p2266,"27170",85539,1899/11/30 00:00:00+00,842441532,2024/06/03 00:00:00+00,4
146.660954230028,-36.2083838343256,,849561942,"334","334",INDIGO,INDIGO SHIRE,G042 2015 p2266,"23350",85539,1899/11/30 00:00:00+00,842441531,2024/06/03 00:00:00+00,2
144.002333662074,-37.3162408636104,,853386390,"329","329",HEPBURN,HEPBURN SHIRE,S002 1995 p12,"22910",,1899/11/30 00:00:00+00,841274226,2024/07/04 00:00:00+00,2
144.630244005862,-37.8936714945401,,856190179,"375","375",WYNDHAM,WYNDHAM CITY,S097 1994 p31,"27260",,1899/11/30 00:00:00+00,855324518,2024/09/06 00:00:00+00,4
144.275249752276,-37.0760237333813,,856190173,"353","353",MOUNT ALEXANDER,MOUNT ALEXANDER SHIRE,S002 1995 p21,"25430",,1899/11/30 00:00:00+00,853386388,2024/09/06 00:00:00+00,2
147.260651604616,-36.8602252593972,,496998897,"124107199","386",FALLS CREEK ALPINE RESORT (UNINC),FALLS CREEK ALPINE RESORT (UNINCORPORATED),,"29399",,2004/12/17 00:00:00+00,496831851,2015/05/18 00:00:00+00,5
146.487827243865,-37.1256991533141,,492682892,"124107196","387",MOUNT STIRLING ALPINE RESORT (UNINC),MOUNT STIRLING ALPINE RESORT (UNINCORPORATED),,"29399",,2004/12/17 00:00:00+00,468592522,2015/01/20 00:00:00+00,5
143.706079434044,-36.9788510764956,,857371171,"313","313",CENTRAL GOLDFIELDS,CENTRAL GOLDFIELDS SHIRE,S002 1995 p9,"21670",,1899/11/30 00:00:00+00,843399868,2024/10/04 00:00:00+00,2
145.111182742456,-38.0045451912804,,857371184,"335","335",KINGSTON,KINGSTON CITY,G050 2023 p2364,"23430",1005,1899/11/30 00:00:00+00,825005520,2024/10/04 00:00:00+00,5
144.874299169825,-37.7913611344531,,857371177,"341","341",MARIBYRNONG,MARIBYRNONG CITY,S097 1994 p24,"24330",,1899/11/30 00:00:00+00,856190177,2024/10/04 00:00:00+00,5
142.796969641101,-37.4891106078791,,857371174,"301","301",ARARAT,ARARAT RURAL CITY,G003 1996 p203,"20260",,1899/11/30 00:00:00+00,840422431,2024/10/04 00:00:00+00,1
144.216623991857,-37.6332815215289,,857413503,"350","350",MOORABOOL,MOORABOOL SHIRE,S097 1994 p25,"25150",,1899/11/30 00:00:00+00,856969539,2024/10/07 00:00:00+00,2
146.925929586717,-37.9554344854535,,857413502,"370","370",WELLINGTON,WELLINGTON SHIRE,S094 1994 p16,"26810",,1899/11/30 00:00:00+00,837408034,2024/10/07 00:00:00+00,1
145.261559550307,-37.8025090092099,,857596454,"342","342",MAROONDAH,MAROONDAH CITY,S097 1994 p24,"24410",,1899/11/30 00:00:00+00,855619793,2024/10/10 00:00:00+00,5
