UFI,PFI,LGA_CODE,LGA_NAME,GAZ_LGA,GAZREGN,ABSLGACODE,TASK_ID,PFI_CR,UFI_OLD,UFI_CR,LABEL_USE_,total_station_count,station per 100000 person,fire_station_count,ambu_station_count,population,km2,persons/km2,poli_station_count,station_per_1000km2,station_per_100000
873018035,372,372,WHITEHORSE,WHITEHORSE CITY,S158 1999 p11,26980,,,857371180,12/09/2025,5,11,6,4,4,183462,64.3,2854.1,3,171.0730949,5.995792044
583705634,300,300,ALPINE,ALPINE SHIRE,G046 1998 p2822,20110,,,570890105,5/12/2019,1,22,167,15,3,13199,4788.2,2.8,4,4.594628462,166.6792939
570890106,124107198,388,MOUNT HOTHAM ALPINE RESORT,MOUNT HOTHAM ALPINE RESORT (UNINCORPORATED),,29399,,17/12/2004,556060985,8/04/2019,5,3,,,,,,,,,
836974835,319,319,EAST GIPPSLAND,EAST GIPPSLAND SHIRE,S094 1994 p11,22110,,,666763702,18/03/2024,1,60,121,42,8,49422,20939.5,2.4,10,2.865397932,121.4034236
844664027,378,378,YARRIAMBIACK,YARRIAMBIACK SHIRE,G003 1996 p200,27630,,,826546835,6/05/2024,2,40,630,28,4,6346,7325.8,0.9,8,5.460154522,630.3183107
847360025,309,309,BULOKE,BULOKE SHIRE,G009 1996 p655,21270,,,835228702,20/05/2024,1,38,638,29,3,5956,7998.2,0.7,6,4.751068991,638.0120887
848225047,379,379,FRENCH-ELIZABETH-SANDSTONE ISLANDS,FRENCH-ELIZABETH-SANDSTONE ISLANDS (UNINC),,29399,,,468592577,27/05/2024,4,1,,,,,,,,,
849561941,367,367,TOWONG,TOWONG SHIRE,G042 1996 p2787,26670,,,817074768,3/06/2024,1,28,449,20,3,6237,6675.2,0.9,5,4.194630872,448.9337823
849561943,374,374,WODONGA,WODONGA CITY,G042 2015 p2266,27170,85539,,842441532,3/06/2024,4,9,20,6,2,44824,433,103.5,1,20.7852194,20.07852936
849561942,334,334,INDIGO,INDIGO SHIRE,G042 2015 p2266,23350,85539,,842441531,3/06/2024,2,26,146,19,2,17788,2040.5,8.7,5,12.74197501,146.1659546
853386390,329,329,HEPBURN,HEPBURN SHIRE,S002 1995 p12,22910,,,841274226,4/07/2024,2,26,155,20,2,16824,1473,11.4,4,17.65105227,154.5411317
856190179,375,375,WYNDHAM,WYNDHAM CITY,S097 1994 p31,27260,,,855324518,6/09/2024,4,14,4,6,6,337009,542.1,621.7,2,25.82549345,4.154191728
856190173,353,353,MOUNT ALEXANDER,MOUNT ALEXANDER SHIRE,S002 1995 p21,25430,,,853386388,6/09/2024,2,21,101,17,1,20799,1529.6,13.6,3,13.7290795,100.9663926
496998897,124107199,386,FALLS CREEK ALPINE RESORT,FALLS CREEK ALPINE RESORT (UNINCORPORATED),,29399,,17/12/2004,496831851,18/05/2015,5,3,,,,,,,,,
492682892,124107196,387,MOUNT STIRLING ALPINE RESORT,MOUNT STIRLING ALPINE RESORT (UNINCORPORATED),,29399,,17/12/2004,468592522,20/01/2015,5,0,,,,,,,,,
857371171,313,313,CENTRAL GOLDFIELDS,CENTRAL GOLDFIELDS SHIRE,S002 1995 p9,21670,,,843399868,4/10/2024,2,12,88,9,1,13704,1532.8,8.9,2,7.828810021,87.56567426
857371184,335,335,KINGSTON,KINGSTON CITY,G050 2023 p2364,23430,1005,,825005520,4/10/2024,5,13,8,5,4,166521,91.4,1822.5,4,142.2319475,7.806823163
